image,labels
800113bb65efe69e.jpg,healthy
8002cb321f8bfcdf.jpg,scab frog_eye_leaf_spot complex
80070f7fb5e2ccaa.jpg,scab
80077517781fb94f.jpg,scab
800cbf0ff87721f8.jpg,complex
800edef467d27c15.jpg,healthy
800f85dc5f407aef.jpg,rust
801d6dcd96e48ebc.jpg,healthy
801f78399a44e7af.jpg,complex
8021b94d437eb7d3.jpg,healthy
802291cee9fec9f4.jpg,complex
80230a9a3f7a9f6b.jpg,scab
8023c3f31f875b6c.jpg,healthy
80261f473eafb92c.jpg,scab
80273091d9e9bddb.jpg,frog_eye_leaf_spot
802962dc3ecdbb8d.jpg,scab
802969daaddbbc8c.jpg,scab
802b34badefa2ed0.jpg,scab
802b59956a7aa5e7.jpg,healthy
802f4bbd295063fe.jpg,scab
802f7439ec1ef0cd.jpg,powdery_mildew
8030a3a79fca6abb.jpg,rust
803270d4d78faeba.jpg,scab
8032d2eafa45f1ec.jpg,scab
80331e0efb74dd62.jpg,healthy
803553d5df59cac2.jpg,scab
803b586d7db3ca16.jpg,rust
803bcb65f486e39a.jpg,healthy
803e3bd17a16e65c.jpg,complex
803e3e74737c314d.jpg,scab
803e60cf3c64e1fe.jpg,healthy
803f621b4757e0af.jpg,frog_eye_leaf_spot
803f658f8cc35ce3.jpg,scab
803f899768b5b789.jpg,rust
804a9db4c7daf436.jpg,scab
804e1eda54919fbb.jpg,healthy
804e673e9ec3d12b.jpg,healthy
8052c7272b3b3f5c.jpg,complex
8054952d7a8bacbf.jpg,complex
80563fc5e3ca1b3c.jpg,powdery_mildew
805763bc63dc5ec8.jpg,healthy
805fac7a36ea178c.jpg,scab
806878cdcb8df99a.jpg,scab frog_eye_leaf_spot complex
806b46cce99acedc.jpg,frog_eye_leaf_spot
806d7d0df8cae3c2.jpg,powdery_mildew
806f356a3f54872e.jpg,scab
80707683b3df0f1b.jpg,healthy
8072861fcb8fb46d.jpg,frog_eye_leaf_spot
80729ba9dd175cf0.jpg,frog_eye_leaf_spot
8075fbf90600e5fa.jpg,powdery_mildew
80769797ce42f658.jpg,scab frog_eye_leaf_spot
80782fca6a9f559c.jpg,scab
80789c79f4d1a3d3.jpg,healthy
8079176b1b970bda.jpg,scab
807947b90eb77856.jpg,rust
807dcd0bd2b0b6b9.jpg,frog_eye_leaf_spot
807f3b90f2a315da.jpg,frog_eye_leaf_spot
8081cf8f63250ff7.jpg,complex
80825b2e837f697d.jpg,healthy
8083e6ccd8d5dce3.jpg,frog_eye_leaf_spot
8085373ad255b5af.jpg,scab
8085d341ee57f03f.jpg,scab
808734da3f595b59.jpg,frog_eye_leaf_spot complex
808778b03ee7e92b.jpg,healthy
8087be2e6f41e25e.jpg,frog_eye_leaf_spot
808990fd0a8f7f8f.jpg,scab
808b6f258f76ac72.jpg,frog_eye_leaf_spot
808c7cabba2f9572.jpg,rust
808d2f39f597f406.jpg,powdery_mildew
808f606a2be5fa1f.jpg,scab
808f87c54a5cbfa3.jpg,scab
808f897fa9e2adb0.jpg,rust
80903293f2f9f7f0.jpg,scab
809106ca5fc7735f.jpg,complex
809339deb2d6a50f.jpg,scab
80933fcc6a673636.jpg,rust frog_eye_leaf_spot
80939571de62d5b6.jpg,frog_eye_leaf_spot
809495769b64f3b5.jpg,powdery_mildew complex
8095c68bf924ab77.jpg,frog_eye_leaf_spot
8096787430575fcf.jpg,healthy
